ID,True Label,Predicted Label,Token
0,B-Artist,B-Artist,rob
0,I-Artist,I-Artist,thomas
0,B-Work of Art,B-Work of Art,little
0,I-Work of Art,I-Work of Art,wonders
0,O,O,recomendations
1,O,O,looking
1,O,O,or
1,O,O,spacey
1,O,O,psychedelic
1,O,O,music
2,O,O,songs
2,O,O,like
2,O,O,this
2,O,O,one
3,O,O,suggestions
3,O,O,for
3,O,O,post
3,O,O,punk
3,O,O,albums
3,O,O,nothing
3,O,O,too
3,O,O,obscure
3,O,O,for
3,O,O,someone
3,O,O,who
3,O,O,liked
3,B-Work of Art,B-Work of Art,unknown
3,I-Work of Art,I-Work of Art,pleasures
3,O,O,and
3,B-Artist,B-Artist,public
3,I-Artist,I-Artist,image
3,I-Artist,I-Artist,ltd
4,O,O,looking
4,O,O,for
4,O,O,brass
4,O,O,heavy
4,O,O,songs
5,O,O,suggest
5,O,O,music
5,O,O,similar
5,O,O,to
5,O,O,the
5,O,O,one
5,O,O,created
5,O,B-Artist,by
5,B-Artist,I-Artist,swedish
5,I-Artist,I-Artist,house
5,I-Artist,O,mafia
6,O,O,something
6,O,O,with
6,O,O,a
6,O,O,garage
6,O,O,heavy
6,O,O,fuzz
6,O,O,sound
6,O,O,similar
6,O,O,to
6,O,O,this
6,O,O,track
6,O,B-Artist,by
6,B-Artist,I-Artist,ty
6,I-Artist,O,segall
7,O,O,good
7,O,O,full
7,O,O,albums
7,O,O,that
7,O,O,tell
7,O,O,a
7,O,O,story
8,O,O,looking
8,O,O,for
8,O,O,songs
8,O,O,similar
8,O,O,to
8,O,O,this
9,B-Artist,B-Artist,andrew
9,I-Artist,I-Artist,huang
9,B-Work of Art,B-Work of Art,300000
9,I-Work of Art,I-Work of Art,note
9,I-Work of Art,I-Work of Art,song
9,O,O,|
9,O,O,any
9,O,O,other
9,O,O,songs
9,O,O,that
9,O,O,resembles
9,O,O,this
10,O,O,help
10,O,O,|
10,O,O,cant
10,O,O,remember
10,O,O,the
10,O,O,song
10,O,O,name
11,O,O,looking
11,O,O,for
11,O,O,nostalgic
11,O,O,happy
11,O,O,sad
11,O,O,music
12,O,O,im
12,O,O,looking
12,O,O,for
12,O,O,love
12,O,O,songs
13,O,O,recommend
13,O,O,songs
13,O,O,with
13,O,O,female
13,O,O,vocals
13,O,O,or
13,O,O,songs
13,O,O,with
13,O,O,female
13,O,O,singers
14,O,O,unrelenting
14,O,O,energy
14,O,O,like
14,B-Artist,B-Artist,rev
14,I-Artist,I-Artist,theorys
14,B-Work of Art,B-Work of Art,hell
14,I-Work of Art,I-Work of Art,yeah
15,O,O,just
15,O,O,want
15,O,O,some
15,O,O,more
15,O,O,music
15,O,O,to
15,O,O,listen
15,O,O,to
16,O,O,90s
16,O,O,songs
16,O,O,by
16,O,O,black
16,O,O,women
17,O,O,something
17,O,O,new
17,O,O,from
17,O,O,hip
17,O,O,hop
18,O,O,help
18,O,O,recomendations
18,O,O,|
18,O,O,60s
18,O,O,80s
18,O,O,funk
18,O,O,and
18,O,O,soul
19,O,O,looking
19,O,O,for
19,O,O,creepy
19,O,O,ambient
19,O,O,music
19,O,O,while
19,O,O,writing
20,O,O,find
20,O,O,me
20,O,O,music
20,O,O,with
20,O,O,dark
20,O,O,lyrics
20,O,O,covered
20,O,O,by
20,O,O,an
20,O,O,upbeat
20,O,O,musical
20,O,O,score
21,O,O,help
21,O,O,with
21,O,O,new
21,O,O,music
22,O,O,need
22,O,O,newer
22,O,O,2016+
22,O,O,indie
22,O,O,music
22,O,O,|
22,O,O,any
22,O,O,recommendations
23,O,O,boybands
23,O,O,and
23,O,O,girlbands
23,O,O,after
23,O,O,2005
23,O,O,similar
23,O,O,to
23,O,O,these
23,O,O,ones
24,O,O,bands
24,O,O,similar
24,O,O,to
24,B-Artist,B-Artist,arctic
24,I-Artist,I-Artist,monkeys
25,O,O,looking
25,O,O,for
25,O,O,complex
25,O,O,lyrically
25,O,O,or
25,O,O,musically
25,O,O,high
25,O,O,energy
25,O,O,music
26,O,O,music
26,O,O,similar
26,O,O,to
